Category,Field Name,DB Column,Data Type,ATTOM Source,Basic,Complete,Verified,Enhanced,Premium,Elite,User Editable,Shown on Frontend?,Where Displayed,Consolidation Recommendation
Location & ID,id,id,UUID,No,Auto,Auto,Auto,Auto,Auto,Auto,No,No (internal),"Used for routing/linking only",Keep — primary key
Location & ID,sellerId,seller_id,string,No,Auto,Auto,Auto,Auto,Auto,Auto,No,No (internal),"Used for auth checks + message routing",Keep — ownership tracking
Location & ID,address,address,string,No,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,No (set on claim),Yes — PROMINENT,"PropertyCard, PropertyDetail header, Dashboard, Map popups, Feed tags, PreListingChecklist, TransactionManager, SubmitOffer (9 pages)",Keep — core identity field; read-only after creation
Location & ID,city,city,string,No,REQUIRED*,REQUIRED*,REQUIRED*,REQUIRED*,REQUIRED*,REQUIRED*,No (set on claim),Yes — PROMINENT,"Same 9 pages as address",Keep — address component; read-only after creation
Location & ID,state,state,string,No,REQUIRED*,REQUIRED*,REQUIRED*,REQUIRED*,REQUIRED*,REQUIRED*,No (set on claim),Yes — PROMINENT,"Same 9 pages as address",Keep — address component; read-only after creation
Location & ID,zipCode,zip_code,string,No,REQUIRED*,REQUIRED*,REQUIRED*,REQUIRED*,REQUIRED*,REQUIRED*,No (set on claim),Yes — PROMINENT,"PropertyDetail, Feed tags, PreListingChecklist (6 pages)",Keep — address component; read-only after creation
Location & ID,latitude,latitude,number,No,Optional,Optional,Optional,Optional,Optional,Optional,No (auto-set),No (used for map positioning),"Map marker coordinates only — never shown as text",Keep — required for map; auto-set from address
Location & ID,longitude,longitude,number,No,Optional,Optional,Optional,Optional,Optional,Optional,No (auto-set),No (used for map positioning),"Map marker coordinates only — never shown as text",Keep — required for map; auto-set from address
Location & ID,attomId,attom_id,string,Yes,Optional,Optional,Optional,Optional,Optional,Optional,No,No (internal),"Never displayed — used for ATTOM API lookups",Keep — API reference key
Physical,propertyType,property_type,string,Yes (pre-fill),REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,Yes,Yes — PROMINENT,"PropertyCard (badge), PropertyDetail (stat box + ATTOM section)",REVIEW: User field + attomSnapshot.physical.propertyType both shown on PropertyDetail with fallback logic. Keep both — user value is primary; ATTOM is reference.
